title,salary,region,degree,exper,company,industry,detail
招聘python开发工程师,28-56万,北京,统招本科,5年以上,万仕道(北京)管理咨询有限公司,互联网/移动互联网/电子商务,希望你具备以下能力或经验：1.开发的软件类型：互联网软件、数据库软件、系统软件2.系统软件的类型：PC端操作系统、移动端操作系统3.主要工作方向：移动端开发、数据库开发、人工智能AI4.具体开发方向：移动服务端开发、移动客户端开发、移动前端开发5.移动开发的适配平台：iOS、Andoid6.常用开发语言：Python7.常用开发框架工具：Django、Flask8.常用数据库：MySQL、PostgeSQL9.开发的系统环境：Linux10.开发工作侧重：软件的总体架构设计、模块设计、代码编写目前，对该岗位的初步定位如下：1.岗位级别：非管理岗为了将来能够更快融入团队，还希望你具备以下条件：1.性格特质要求：团队合作、逻辑思维、乐观积极、抗压能力强更多补充：有大数据处理经验者优先                        
招聘python开发工程师,12-18万,深圳,统招本科,3年以上,elego,城市工程设计师招聘,岗位职责：1. 使用hiveFlinkHadoop 等平台分析内部及外部数据，配合业务团队进行定量定性分析，把数据转化为业务增值信息2. 负责设计和开发分布式网络爬虫应用，包括调度、抓取、入库等内容，进行互联网相关信息的抓取、清洗和分析3. 负责推荐系统、爆款挖掘平台的开发4. 跟踪业界前沿技术，应用到实际项目中岗位要求：1. 计算机应用数学软件工程等相关专业本科及以上学历2. 熟悉大数据处理相关产品架构和技术（如HadoopHiveHBaseSpakKafkaFlink等）3. 熟练掌握至少一种编程语言Scala、Java，熟练掌握至少一种脚本语言python、shell4. 有在电商数据分析、推荐系统、数据挖掘经验者优先5. 具备良好的团队合作精神和承压能力，善于学习和思考，能独立分析和解决问题                        
