title,salary,region,degree,exper,company,industry,detail
招聘全栈工程师,20-32万,天津-滨海新区,本科及以上,5年以上,中软国际科技,计算机软件,"岗位职责：1.敏捷项目；2.有机会使用新技术新工具，实践性强；3.Gloal的合作团队，英文工作环境；Jo desciptions:必备条件：•全栈工程师，5年以上开发经验，有良好的英语听说读写能力；•有独立解决复杂问题的能力，适应能力强；•1.后端要求：•有面向对象分析经验，以及Java 1.6, 1.7 & 1.8的实际项目经验；•精通Oacle或者DB2数据模型；•熟悉JavaJ2EEWesevice，熟悉SpingSping CXFSping MVCSping ootHienateMyBatis等框架；•2.前端要求：  精通JS, HTML5，熟悉Node.js, REACTAngulaJSEme JSBackoneVue等；•符合以下条件优先考虑：•有敏捷项目经验优先•有CICD经验,了解Gitflow, maven, Jenkins, sonaque或其他相关工具优先。岗位职责：1.敏捷项目；2.有机会使用新技术新工具，实践性强；3.Gloal的合作团队，英文工作环境；Jo desciptions:必备条件：•全栈工程师，5年以上开发经验，有良好的英语听说读写能力；•有独立解决复杂问题的能力，适应能力强；•1.后端要求：•有面向对象分析经验，以及Java 1.6, 1.7 & 1.8的实际项目经验；•精通Oacle或者DB2数据模型；•熟悉JavaJ2EEWesevice，熟悉SpingSping CXFSping MVCSping ootHienateMyBatis等框架；•2.前端要求：  精通JS, HTML5，熟悉Node.js, REACTAngulaJSEme JSBackoneVue等；•符合以下条件优先考虑：•有敏捷项目经验优先•有CICD经验,了解Gitflow, maven, Jenkins, sonaque或其他相关工具优先。English：中级要求能够进行日常交流；高级要求能够参加会议并进行需求沟通；                        "
招聘全栈工程师,28-49万,上海,统招本科,2年以上,隐木(上海)科技有限公司,仪器/仪表/工业自动化/电气,"岗位职责：1、负责编写产品 We 服务端，设计API，实现产品功能；2、负责 We 服务端之 SLA , 代码维护、秩代更新等工作；3、具有微服务编程经验；4、负责编制单元测试，提高系统覆盖率，敢于对产品质量负责。任职要求：1、扎实的计算机基础，熟练掌握相关数据结构和算法2、熟练掌握各种前端技术，包括 HTMLCSSJavaSciptNode.js 等；3、深入了解 JavaScipt 语言，使用过 React 或 Vue.js 等主流开发框架；4、掌握至少一门PythonGolangJava后端语言，有较强的代码及工程架构能力5、熟悉MySQL,Redis,消息队列等常用的We组件6、对云计算或开发者相关的产品有认知、实践经验者优先；7、有 Docke、atifactoy，Kuenetes、mesos，mesosphee，maathon，AWS 云计算经验者优先。                        "
招聘全栈工程师,24-36万,北京,大专及以上,3年以上,首都在线,互联网/移动互联网/电子商务,岗位职责：负责企业级备份归档软件客户端开发需求、设计，核心模块）；参照主要客户需求、主流备份归档软件开发功能需求；对大客户的需求实施定制化功能开发；持续优化产品需求逻辑和用户体验；客户端多平台（windowslinux）支持；移动app开发;                        
招聘全栈工程师,21-28万,上海-普陀区,硕士及以上,3年以上,国内家装巨头,通信(设备/运营/增值),               岗位职责：1、基于 WeGL 的设计云软件的设计和实现；2、图形算法设计和实现；3、设计数据结构和 API 接口；4、负责一些模块功能的需求分析、功能设计和实现；包括前端 UI，业务逻辑和后端服务；5、研究前沿前端技术并跟进，为团队技术选型提供参考并将其应用到项目中。任职要求：1、本科（含）以上学历，计算机或相关专业毕业，具有 3 年以上软件 开发工作经验；2、深入理解 OODOOP，熟悉常用设计模式，能够理解 SOLID 原则，并至少熟悉一种 OO 编 程语言如 C++、JAVA、C#等； 3、逻辑思维好，熟悉常用数据结构和时间空间复杂度；具备算法设计能力；4、对图形图像算法、3D 计算技术或者大型 We 前端应用有浓厚兴趣；5、有 Restful API、SOA 或者大型网站开发经验。加分项：1、精通 HTMLCSSJavaScipt；熟悉浏览器工作原理；2、精通一种或者多种前端开发框架（ReactAngulaVue），并理解其实现原理；            
招聘全栈工程师,36-60万,上海,统招本科,2年以上,某智能芯片公司,计算机软件,               工作职责：1、负责分布式平台上we产品的开发和维护；2、负责分布式管理平台的开发和维护，参与平台架构设计；3、负责系统多个子服务的设计、开发、重构及维护。任职资格条件：1、具备全栈开发经验，包括网页前端、后端；2、熟悉We前端技术，包括JQuey，React、CSS、Javascipt、Responsive we等前端技术的一种或者几种；3、熟悉网站性能优化，技术体验优化，浏览器兼容性；4、熟悉PostgeSQL、MySQL或其它相关存储解决方案；5、具备良好的合作态度和团队精神，乐于学习，工作有激情，富有责任感。            
招聘Web全栈工程师,24-48万,上海-徐家汇,本科及以上,3年以上,上海乐言信息科技有限公司,规划设计,"# We全栈工程师岗位职责： 1、负责新产品的原型开发；2、根据具体项目需求准确判断所需架构模式，比较利弊，并根据需求修改架构；3、独立完成快速迭代与交付；任职资格：1. 熟悉 HTTPHTTPS, 理解RESTful设计理念；2. 熟练掌握后端Java栈或Python栈框架；3. 掌握前端技术栈, Node.js, React, CSS3；4. 具备独立完成整个网站应用的能力；加分项：- 熟悉Electon相关技术栈- 有基础运维能力- 有基本的项目管理经验, 能合理的分解任务- 活跃的 Githu 用户, 参与过开源项目- 有良好的主观能动性和沟通能力, 能够主动进行项目开发                        "
招聘PHP全栈工程师,24-42万,广州-番禺区,本科及以上,7年以上,广州君士坦丁科技有限公司,测试工程师C++招聘,职责描述： 1、负责公司平台综合业务的开发与维护； 2、负责公司综合项目技术研究和攻关 3、能独立完成产品需求，对突发性出现的问题能够及时追踪、定位和解决。 技能关键词：分布式，Linux，PHP，MySQL，JavaScipt，Python 任职要求：1、熟悉 Linux 日常操作和运维；2、熟悉 PHPJavaJavaSciptGoPython 等语言；3、具有 MySQL 索引优化、查询优化经验；4、熟悉服务端各类缓存设计，熟悉 Redis 等常用解决方案；5、能编写高质量的代码，爱折腾，学习能力强，对代码有洁癖。6、阿里云平台运维能力（服务器、cdn、负载均衡、直播服务配置、管理）                        
