title,salary,region,degree,exper,company,industry,detail
招聘数据产品经理,24-36万,北京,统招本科,3年以上,ROOBO 儒博,广告/公关/市场推广/会展,岗位职责：1、独立承担用户数据平台产品的需求及规划设计、制定详细的项目计划并付诸执行；2、深入了解业务，抽象业务需求，与开发一起优化数据采集、加工流程方案；3、关注用户数据报表，从数据出发给各产品线出相应的优化建议；4、配合部门负责人进行数据产品的使用培训和推广，推动数据化运营；任职要求：1、3年在线教育产品经理工作经验，1年以上数据产品经验，拥有良好的数据敏感度和业务视野；2、制定数据产品运营策略，协调部门及业务方持续改善产品功能和使用体验，提高决策效率；3、熟悉数据产品规划和设计工作、数据治理经验；4、熟悉产品及项目管理的基本方法，能够独立组织并协调资源完成数据管理系统的搭建、运营、维护；5、熟练使用SQL，能独立完成基础的数据探查工作； 6、有CRM、客服系统等相关数据产品工作经验优先；工作地址                        
招聘产品经理-食品类,7-18万,上海-浦东新区,本科及以上,3年以上,烨贸金属(上海)有限公司,贸易/进出口,工作内容：1.负责提出进口产品食品类销售计划2.组织团队对国外市场的产品开发和开发中国地区新客户；3.积极完成公司制定的销售业绩目标；4.积极按业务流程规范操作，与各部门协调，完成订单的正常出运；5.及时协调解决供货商客户部属反馈的各种问职位要求：1.本科学历，国际贸易、市场营销、轻工食品等专业，有食品类外贸经验的优先；2.有3年以上大宗物资贸易经验；3.良好的客户沟通及谈判技巧，英语读、说、听、写必须熟练，有接待外商的能力；4.有独立开发国际市场产品的能力，并要有较强的沟通能力及团队协作精神；5.充满活力，富有激情，对工作认真负责。微信分享                        
招聘产品推广经理,24-30万,厦门,本科及以上,5年以上,斐乐,服装服饰/纺织/皮革,岗位职责：1、负责整合营销产品线消费者调研及发展营销规划、利益点、命名、文案及整体推广、运营策略方向，包括对标竞品研究。2、负责串联公司管理层及各业务部门（商品、销售、终端市场等），确保整合营销在各渠道落地执行。3 、负责相关产品推广计划，及相关传播预算的规划、使用和效果。4 、负责相关产品推广活动（如产品发布会等）的策划、组织与实施。5、负责代言人及各类赞助项目的整体规划、推动签约及后续使用。6、参与制定公司的品牌和产品战略与规划，包括产品企划、评审、订货及终端上市推广工作。7 、负责相关的供应商获取及管理使用。任职资格：1、本科及以上学历。2、8年以上一线品牌产品推广经验；有敏锐的市场洞察力、较强的资源整合能力。3、广告公司、咨询公司相关背景优先考虑。4、有运动、休闲品牌相关工作经验，熟悉竞品推广模式及资源运动，具备优良的文案功底。5、较好的人际沟通及团队管理能力、较强的观察力和应变能力；优秀的人际交往和协调能力、较强的社会活动能力。                        
招聘儿童产品经理,面议,厦门,本科及以上,5年以上,斐乐,服装服饰/纺织/皮革,【岗位职责】1、规划品类和分解生意目标负责斐乐儿童Kids的品牌定位，分析销售数据和订货状况，调查和研究市场趋势并结合公司价格成本的定位，分解本品类的生意，制定本品类产品结构。2、分析市场和竞品情况依据市场的时间季节进行市场调查，调查斐乐潮牌的竞品信息、市场流行趋势、本品销售情况等，了解各大主流渠道产品销售状况（本品和竞品）及未来潜在需求，掌握整体市场趋势走向。3、制作每季企划案依据市场流行趋势和消费者的需求和公司品牌资源分配，完成斐乐儿童Kids产品企划案，制定具体的包裹主题、重点品类规划、商品方向、商品结构、上市规划、面料规划等等。4、评审每季图纸依据产品结构核对本品类图纸是否与结构表相符，评审图纸是否能满足生意的需求、主题与企划案是否一致。5、评审每季样品主导评审本品类全配色样品，将产品的创意和结构以及本季的生意目标告诉客户，依照客户和买手的意见，组织设计师和工艺师对产品进行调整和修改。6、订货会培训制定订货会培训资料，参与订货会商品陈列布展，对客户进行现场培训指导。福利：       1、5天8小时工作制，享受弹性调休及带薪年假；　　 2、为员工缴交五险一金-社保、公积金（薪资全额12%缴交）；　　 3、工作日享受餐补、免费的班车，丰厚的年终奖金；　　 4、优美怡人的观音山办公环境、温馨和谐的人文环境、便利快捷的交通枢纽；　　 5、完善的职业规划体系、广阔的发展平台及内部晋升岗位。                         
招聘产品经理（管网管线方向）,12-22万,广州,统招本科,3年以上,广州南方智能技术有限公司,互联网/移动互联网/电子商务,岗位职责：1.熟悉综合管网、供水、排水、燃气、综合管廊其中一种业务；2.表达能力强，系统汇报演示能力突出；3.准确理解用户需求，合理引导用户，控制项目边界，严格按照既定目标和合同条款进行建设；任职要求：1.本科或以上学历，计算机、软件工程、地理信息系统相关专业毕业，1年以上项目管理工作经验；2.具有良好的项目管理能力、协调能力、团队领导能力和承压能力；3.具有良好的需求理解分析能力，善于控制需求边界，能对客户需求进行良好分析和引导；4.具有良好的文档能力，独立撰写项目需求、项目规划、方案、投标书等文档；5.有软件开发工作经验的优先；6.项目管理、汇报、原型制作工具熟练掌握；                        
招聘医疗器械产品经理,10-12万,北京-平谷区,大专及以上,5年以上,中安泰华,医疗设备/器械,1、负责公司产品的市场调研；2、负责公司产品的定义及设计；3、负责公司产品的项目管理；4、负责公司产品的宣传介绍；5、负责公司产品市场；6、负责公司产品生命周期管理；7、要求有2年以上骨科行业经验。                        
招聘产品经理（IC/IS）,18-24万,北京-四惠,统招本科,3年以上,北京万德众归管理咨询有限公司,基金/证券/期货/投资,岗位职责:1，根据公司战略及展现规划，整体研究、策划、设计和完善公司的产品线；2、 调整、优化、维护公司现有产品，随时了解市场状况并做出相应调整和安排；3、 根据公司业务体系，在市场上采集适合公司销售的产品；4、 负责成型产品的路演、推介工作，组织各类的推广活动；5、 负责产品的投后管理，包括跟踪项目运行情况、对接上游机构的信息披露事项等；7、 负责合作渠道的维护和拓展：广泛接触各类金融机构，与包括证券公司、基金公司、信托公司、私募基金管理人等金融机构建立良好的合作关系，并从中寻找业务合作机会；负责金融业务的对接及谈判。岗位职责:1，根据公司战略及展现规划，整体研究、策划、设计和完善公司的产品线；2、 调整、优化、维护公司现有产品，随时了解市场状况并做出相应调整和安排；3、 根据公司业务体系，在市场上采集适合公司销售的产品；4、 负责成型产品的路演、推介工作，组织各类的推广活动；5、 负责产品的投后管理，包括跟踪项目运行情况、对接上游机构的信息披露事项等；7、 负责合作渠道的维护和拓展：广泛接触各类金融机构，与包括证券公司、基金公司、信托公司、私募基金管理人等金融机构建立良好的合作关系，并从中寻找业务合作机会；负责金融业务的对接及谈判。                        
招聘教育产品项目经理,14-30万,北京,本科及以上,3年以上,学成世纪,教育/培训/学术/科研/院校,工作职责:1、负责学大教育集团新产品调研、分析、规划与设计；2、结合公司发展战略，全面推进新产品项目发展，制定项目发展战略规划，完成年度预算及各项指标；3、负责新产品相关的数据分析，优化迭代；4、负责与运营，技术等团队合作，推进业务发展；5、定期进行市场分析、竞品分析和用户研究，持续优化产品体系。任职资格:1、本科及以上学历，相关专业、相关行业者优先；2、三年以上教育培训产品研发、教学、培训、管理经验，综合能力优秀；3、一年以上团队管理经验，能带领团队进行产品研发、推广；4、对教育培训行业有深入了解，熟悉K12教育领域；有过班组产品设计或者运营管理经验优先考虑；5、接受经常出差；6、有敏锐的市场洞察力和分析能力，客户感知能力；具有良好的沟通协调能力和抗压能力；7、有强烈的好奇心、求知欲，学习能力强；具有创新开拓精神、责任心强，工作高效；8、热爱教育事业，专注，具有工匠精神。                        
招聘产品经理（潮）,12-36万,上海-闵行区,统招本科,6年以上,斐乐,服装服饰/纺织/皮革,岗位职责：1、对每个季度所负责系列的产品数据进行分析总结。2、负责市场调查，把控国内外的潮流趋势，并提取适合本品牌定位的开发方向信息。3、负责根据公司的战略目标进行生意分解，制定产品企划案，包括：产品的上市规划、波段故事包、波段SKU规划、价格定位、面料规划等。4、负责把控本系列的KPI指标达到公司的既定目标，包括：业绩目标、成本率、售罄率等。5、负责每个季度本系列产品的图纸的评审，能够根据销售数据及市场趋势提供设计师图纸修改的方向，并最终完成图纸。6、负责每个季度本系列产品的商品讲解工作并且完成产品的修改方向、结构的梳理，指引设计师调整。7、负责本系列产品的全国商品培训。8、负责项目跟进（赞助项目）的跟进。9、负责本部门对外的沟通协调工作。任职资格：1、本科及以上学历，设计、英文、国际贸易专业优先考虑；英语口语流利。2、拥有6年以上服装企业产品企划的经验，熟悉产品的开发流程及时间点；具备优秀的商品数据分析能力，优秀的市场洞察力，能够很好的捕捉竞品情况及市场趋势。3、拥有很好的逻辑思维能力、沟通能力、语言表达能力。                        
招聘产品经理-电热水器,12-18万,青岛,大专及以上,3年以上,太阳雨集团有限公司,家具/家电,技能要求：产品设计，产品策划，需求分析，用户研究，竞品分析岗位描述：1、电热产品市场调研及产品线规划；2、产品核心技术卖点的调研、论证、确立及开发，持续优化；3、主导产品外观、工艺、技术、配置、定模、成本、量产的标准及流程；4、推广主导组织产品宣传促销导购等资料的开发编制；5、终端电热推广及技能培训；任职要求：1、本科及以上学历，热能动力、暖通、给排水、建筑相关专业；2、2年及以上电燃热相关行业从业经历，或2年及以上电燃热售后服务工作经验，具有采暖行业工作经验者、熟悉行业产业链采购者优先；3、熟练使用AutoCAD制图软件及Office办公软件；4、具备良好的沟通能力、谈判能力与团队合作意识。工作地点：集团总部（连云港）                        
招聘高级产品经理 （互联网金融）,22-36万,深圳,本科及以上,3年以上,思迪信息,互联网/移动互联网/电子商务,职责描述：1. 深入分析业务需求及背景，并提供合理的产品设计方案，大幅度提升产品用户体验、业务逻辑合理性以及运营部门的工作效率；2. 收集行业需求，了解和分析行业竞品趋势及业务模式，创新产出新产品或新模式；3. 参与产品战略规划及产品发展方向规划，提高产品在行业竞争力。任职要求：1.3- 5年以上工作经验，3年以上中后台产品工作经验，实际完成过完整产品设计，并产生商业价值；2.  擅长需求调研，具备良好的需求分析和产品设计能力，完成PRD、产品业务方案PPT等文档撰写，具备一定的商业意识;3. 积极主动，能承受较大的工作压力，有金融行业运营中台经验优先。                        
招聘产品经理/项目经理/专案经理,10-18万,东莞-凤岗镇,大专及以上,3年以上,东莞市星辰互动电子科技有限公司,互联网/移动互联网/电子商务,岗位职责：1.新产品规划，进行市场调研，收集、整理、分析产品需求信息，提出新产品策划；2.定义新产品的形态和功能，输出完整的产品需求，技术规格描述等开发文档；3.组织新产品的设计开发工作；全程跟进新产品开发过程的进度、质量、成本；4.新产品开发过程的管控；协调各部门和人员确保整个项目的顺利进行；5.新产品试产阶段的跟进和总结，确保平稳过渡到量产阶段。任职要求：1.电子、机械、光电相关专业大专上学历；3年以上游戏耳机、音频类产品项目管理经验；2.熟悉电子行业相关设计规范、标准和要求；精通音频类产品设计开发；有产品认证（UL，CE）经验。3.丰富的项目管理经验，熟悉产品设计中的ID、软件、硬件、结构、NPI主要工作内容和流程。4.有游戏外设、蓝牙音箱、耳机、游戏手柄等行业从业经验优先考虑。                        
招聘金融产品-核心账务产品经理10686,38-75万,北京-酒仙桥,本科及以上,3年以上,车好多集团,医疗设备/器械,1、负责公司金融核心财务系统（账户系统、结算对账、会计核算、收入成本分摊等）的产品规划、设计，对产品全生命周期进行管理，提升财务部门的用户体验；2、分析内部用户和业务部门需求，梳理业务流程，从0-1搭建核心账务系统，设计具体产品功能，输出PRD及产品原型；3、具备一定的财务知识，能提出产品需求或改进意见；4、协调开发人员进行开发工作，推动及协调产品的开发进度，把控项目质量，对产品最终上线负责。任职资格:1、全日制本科及以上学历，3年及以上工作经验； 2、具备一定的财务知识，拥有清算、结算、对账经验，对财务会计核算有一定的了解；3、熟练使用visio、axue、poject、ppt等产品经理常用工具，了解简单SQL语句，可以进行简单的数据查询；4、善于沟通和团队协作，有较强的责任心和敬业精神，具备优秀的规划和独立推进项目进度的能力。                        
招聘A线产品经理,面议,广州,本科及以上,8年以上,广汽研究院,汽车/摩托车,职责描述：1、负责市场情报搜集、市场调研、竞争格局分析等市场动态研究及市场需求管理工作；2、负责依据市场需求分析，完成产品定义，并监控产品定义在项目中的实现状态；3、负责动态分析产品竞争力，并提出产品力提升建议及生命周期规划方案；4、负责对接2510技术规划，策划技术创新项目的应用，同时提出新技术开发需求；5、负责协助A线产品组合管理；6、负责协助构建产品线业务相关的流程、体系。任职要求：1、8年以上相关工作经验优先；2、本科或同等以上学历；3、汽车相关专业优先；4、英语四级及以上或同等能力优先，可以阅读和书写日常工作用英语资料；5、CATIA 精通或熟练，Office 熟练；6、掌握汽车设计相关基础知识，对汽车某一专业领域有较深认知；7、熟悉整车开发流程，及整车关键系统架构；8、熟悉市场研究、产品策划工作流程和方法，对汽车市场发展态势、竞争格局和产品定位有深度理解。                        
招聘E线产品经理,面议,广州,本科及以上,8年以上,广汽研究院,汽车/摩托车,职责描述：1、负责产品线战略布局规划；2、负责产品线平台技术路线规划；3、统筹市场动态研究及生命周期管理；4、负责项目开发可行性研究5、负责产品定义，将市场语言转换成工程指标的需求规格书6、负责组织构建与专业领域及项目组的业务流程及开发流程。7、负责产品线相关政策法规研究。任职要求：1、8年以上汽车行业工作经验；2、本科及以上学历；3、市场、整车、智能网联、新能源等方向；4、熟悉整车开发流程、性能目标定义及分解，有深厚的技术功底和较宽的横向专业经验；5、对汽车技术的发展趋势有深入的了解和见解，对汽车发展趋势、政策走向有较深的理解；6、较强的客户意识、市场意识，有较强的责任心。                        
招聘产品开发经理,12-24万,广州-白云区,大专及以上,5年以上,广州笔匠化妆品有限公司,食品/饮料/烟酒/日化,职责描述：1、负责公司自主品牌和OEM工厂化妆品产品的规划和开发，关注市场趋势和行业新技术发展；2、根据品牌发展的目标，制定产品开发策略及中、长期产品开发计划；3、对产品推广、市场定位、产品定价提出建设性方案，为完善提升品牌形象提出参考意见；4、制定新产品方案（设计）、负责开发及产品上市的整个过程中，与各部门做好沟通和后续新项目立项工作；5、分析、整理品牌相关资料，制定阶段性的品牌推广策略、方案，协调相关部门执行，并对推广效果进行评估、总结。任职要求：1、大专及以上学历，有5年以上相关工作经验，有化妆品工作专业背景；2、对化妆品市场有敏锐的洞察力和把握力，深谙天然时尚美妆文化；3、能掌握产品线设计（规划）方法，具有敏锐的市场嗅觉；4、熟悉产品开发全过程，具备化妆品行业工作经验及相关产品知识和行业知识及相关行业知识；5、思路清晰、创意思维活跃、逻辑性和文笔流畅，对时尚行业市场具备较强敏感度，有良好的文字功底和写作能力，能独立撰写产品分析报告；6、良好的口头表达能力，沟通技巧和团队精神，有较强的执行能力和负责的态度。                        
招聘增长产品运营经理,24-36万,北京,统招本科,3年以上,(LPT)英仕互联(北京)信息技术有限公司,互联网/移动互联网/电子商务,职责描述：1、承担招聘产品的用户增长目标，制定增长战略，通过产品与运营为新增获客负责；2、负责产品开放平台，拓展并跟进入口渠道的接入与运营；3、建设并监控用户转化数据，优化用户进入体验，通过产品与运营提升转化率；4、设计推荐与分享工具，并负责工具的传播与策略的运营，实现裂变与自传播增长任职要求：1、移动互联网行业3年以上工作经验，有产品裂变增长的实操案例者优先；2、熟悉招聘行业用户需求与痛点，并在运营实践中形成自己的方法论；3、具备较强的逻辑思维及数据敏感度，通过数据分析洞察业务，获取认知辅助决策； 4、成长自驱，拥有高效的执行力及跨部门沟通能力，能充分调动站内外资源，协同其他部门完成任务                        
招聘产品经理,14-24万,上海-徐汇区,本科及以上,3年以上,上海多维度网络科技股份有限公司,机械制造/机电/重工,岗位描述：1、负责产品的规划、落地、迭代工作 ； 2、通过细分行业、人群、场景来发现产品机会，提炼用户需求；指导产品设计；3、收集并评估多方的产品需求，整合规划，联动各方，协调资源，完成产品从设计到上线的全链路工作；岗位要求：1、本科及以上学历；2、3年以上电商、O2O产品经验；3. 清晰的产品设计思路，对所处行业有全面了解和独到认识，拥有整体把握产品的能力；4. 优秀的逻辑思维能力和沟通表达能力，严谨负责的工作态度，优秀的学习能力；5. 敏锐的行业洞察力，熟悉互联网用户行为习惯，具有产品创新思考能力；                        
